Available,Unavailable,actual,tp,fp,sensitivity,fpr,specificity,precision,dataset,method,seed
0.6759152735914289,0.32408472640857106,Available,19,3,0.7307692307692307,0.2727272727272727,0.7272727272727273,0.8636363636363636,data_avail_glmnet,glmnet,100
0.6752363483996727,0.3247636516003273,Available,20,3,0.7692307692307693,0.2727272727272727,0.7272727272727273,0.8695652173913043,data_avail_glmnet,glmnet,100
0.6712027980519417,0.32879720194805834,Available,21,3,0.8076923076923077,0.2727272727272727,0.7272727272727273,0.875,data_avail_glmnet,glmnet,100
0.656618597107943,0.34338140289205693,Unavailable,21,4,0.8076923076923077,0.3636363636363637,0.6363636363636364,0.84,data_avail_glmnet,glmnet,100
0.6485891898583064,0.3514108101416936,Unavailable,21,5,0.8076923076923077,0.4545454545454546,0.5454545454545454,0.8076923076923077,data_avail_glmnet,glmnet,100
0.6387700104898859,0.36122998951011415,Unavailable,21,6,0.8076923076923077,0.5454545454545454,0.4545454545454546,0.7777777777777778,data_avail_glmnet,glmnet,100
0.6361394789787508,0.3638605210212492,Available,22,6,0.8461538461538461,0.5454545454545454,0.4545454545454546,0.7857142857142857,data_avail_glmnet,glmnet,100
0.6284683721187014,0.3715316278812985,Unavailable,22,7,0.8461538461538461,0.6363636363636364,0.3636363636363637,0.7586206896551724,data_avail_glmnet,glmnet,100
0.6181196234738063,0.38188037652619367,Unavailable,22,8,0.8461538461538461,0.7272727272727273,0.2727272727272727,0.7333333333333333,data_avail_glmnet,glmnet,100
0.61555935530746,0.38444064469254,Unavailable,22,9,0.8461538461538461,0.8181818181818182,0.18181818181818177,0.7096774193548387,data_avail_glmnet,glmnet,100
0.6111950881075934,0.3888049118924067,Available,23,9,0.8846153846153846,0.8181818181818182,0.18181818181818177,0.71875,data_avail_glmnet,glmnet,100
0.6036731052238948,0.3963268947761051,Available,24,9,0.9230769230769232,0.8181818181818182,0.18181818181818177,0.7272727272727273,data_avail_glmnet,glmnet,100
0.602779146213439,0.397220853786561,Available,25,9,0.9615384615384616,0.8181818181818182,0.18181818181818177,0.7352941176470589,data_avail_glmnet,glmnet,100
0.5550594885744723,0.4449405114255277,Available,26,9,1,0.8181818181818182,0.18181818181818177,0.7428571428571429,data_avail_glmnet,glmnet,100
0.4847717955406752,0.5152282044593248,Unavailable,26,10,1,0.9090909090909092,0.09090909090909094,0.7222222222222222,data_avail_glmnet,glmnet,100
0.4281585125121261,0.5718414874878739,Unavailable,26,11,1,1,0,0.7027027027027027,data_avail_glmnet,glmnet,100
0.8523135701275109,0.14768642987248914,Available,1,0,0.03846153846153846,0,1,1,data_avail_glmnet,glmnet,101
0.8389885667522117,0.16101143324778827,Available,2,0,0.07692307692307693,0,1,1,data_avail_glmnet,glmnet,101
0.8346915519012975,0.16530844809870246,Available,3,0,0.1153846153846154,0,1,1,data_avail_glmnet,glmnet,101
0.8271138109985292,0.17288618900147074,Available,4,0,0.15384615384615383,0,1,1,data_avail_glmnet,glmnet,101
